name,confirmed,distance
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
moon,true,5000
